what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1419752935057
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1419752935057
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1419752935072
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1419752935072
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1419752935104
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1419752935104
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1419752935104
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1419752935104
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1419752935104
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1419752935104
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1419752935104
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1419752935119
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1419752935119
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1419752935119
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1419752935119
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1419752935119
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1419752935135
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1419752935166
started,bundle,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.adt",1419752935166
started,bundle,com.android.ide.eclipse.base,23.0.3.1327240,"com.android.ide.eclipse.base",1419752935166
started,bundle,com.android.ide.eclipse.ddms,23.0.3.1327240,"com.android.ide.eclipse.ddms",1419752935182
os,sysinfo,,,"win32",1419752935197
arch,sysinfo,,,"x86_64",1419752935197
ws,sysinfo,,,"win32",1419752935197
locale,sysinfo,,,"zh_CN",1419752935197
processors,sysinfo,,,"4",1419752935197
